"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DPT",14240.1400023798,-4.69518470392791,0.806577957384992,-4.5813112918534,4.62069442596847e-06,0.000443612335417561
"EPYC",135.935250885001,7.12788601481562,1.2578033038549,4.87189530830055,1.10532738697126e-06,0.000134128477128899
"EBF1",3926.03822905075,-3.78646658334031,0.615973144563545,-4.52368192985864,6.07730333398303e-06,0.000555671317008258
"S1PR1",3850.45374803057,-2.69636799214356,0.452155902058148,-3.75173249850757,0.000175616788194304,0.00847718915303286
"EPAS1",27288.2616505069,-2.6828797596654,0.451776566059234,-3.72502667490007,0.000195294569723038,0.0090722727402791
"EPB42",110.708339990474,-8.17236481876813,1.29676933706157,-5.53094880776595,3.18503274806076e-08,7.0564808870818e-06
"FABP4",101855.522947024,-7.31285643726625,1.20518529116102,-5.23807955802773,1.62256120054227e-07,2.69610385640106e-05
"FGF2",3226.29195655846,-4.23013149147242,0.487600774708197,-6.62454134410569,3.48328017782029e-11,2.14980588403259e-08
"FHL1",46822.3501202284,-5.89254988510209,0.709406106987842,-6.8966841938759,5.32303342722197e-12,5.23934164180476e-09
"FIGF",1224.12644016094,-5.65919705387062,1.02615064066822,-4.5404610875033,5.61313381498769e-06,0.00052432738084758
"FOXM1",2525.68884162457,5.13177568052429,0.940521874225383,4.39306707664533,1.11762625440124e-05,0.000924626151667359
"FMO2",8609.53849817211,-5.27178949401471,0.700654236062215,-6.09685815648933,1.08173423014459e-09,3.73868984622575e-07
"GFRA2",166.988573585547,-4.05520753569114,0.670849093433357,-4.55423964286037,5.25753946525208e-06,0.000496478357918149
"GHR",10543.9583382114,-4.28294385259624,0.816561352253928,-4.02044971089366,5.8087148657897e-05,0.00365019642166225
"GJB2",2326.08495167314,6.02620659666778,0.687267282703199,7.31332150265966,2.60618437523412e-13,5.0041635764912e-10
"GPC3",5356.14795883989,-3.74467256950514,0.722196996454625,-3.80044860748404,0.000144434371845436,0.00740644029632338
"GLDC",154.519835661862,4.32615386681781,0.876026384195811,3.796864942454,0.000146537572895878,0.00749205857163809
"GNAL",512.314764611758,-3.05615154785648,0.493744876329358,-4.16440077949266,3.12171343755901e-05,0.00214899505238472
"GPD1",33990.4928300953,-8.21069143233929,1.21060262829551,-5.95628265113854,2.58039894456368e-09,7.68825416569051e-07
"GPLD1",245.321454235089,-4.44410613087795,0.638181741383901,-5.39674814796391,6.7859536351952e-08,1.26094693300869e-05
"GPX3",36022.7267424404,-4.73009852295486,0.857371551252626,-4.35062082186557,1.35752628291228e-05,0.00108608387476885
"GRIA1",189.330425421561,-5.09138702720954,1.05486643516209,-3.87858300428419,0.000105066677780518,0.00585695889911334
"GRIN2D",162.810985013019,3.08688339139783,0.483639872984265,4.31495314586215,1.59636757964718e-05,0.00124827276669153
"GRM4",47.4358219195436,4.5851584145963,0.693018748961866,5.17324880454797,2.30058341651052e-07,3.68114648339984e-05
"GSN",85825.3059216386,-3.20479275533258,0.525631885585129,-4.19455671506348,2.73405739207364e-05,0.00195487498607935
"GYS2",310.01214712176,-9.38279902730894,1.94867242937903,-4.30179998491599,1.69416209516628e-05,0.00131286166666226
"HBA2",4687.2998309208,-6.55566089075912,0.77592828669872,-7.16001850428258,8.06661716793212e-13,1.16166009399196e-09
"HBB",7422.54459681472,-7.32218832039742,0.75115723702941,-8.41659776240682,3.87575587781455e-17,1.67442343311283e-13
"TLX1",318.593961697891,7.46511793653057,1.39458167704323,4.63588332111019,3.55416418175823e-06,0.000352985696695195
"HSD11B1",927.939277180656,-4.51391016606851,0.917641000522586,-3.82928635933592,0.000128515395334905,0.00677095898409296
"IGFBP6",2146.52413050321,-3.51384256541921,0.59641521277482,-4.21492026288794,2.49866453846998e-05,0.0018374222080553
"INHBA",985.39360388551,4.40324418362427,0.67153747425013,5.06783956833458,4.02356297682706e-07,5.83970962802415e-05
"ITGA7",7425.24741101504,-5.07164915112149,0.676463140417564,-6.01902588307791,1.75469813461298e-09,5.51326153895397e-07
"KCNB1",392.491205061332,-5.16800193997217,0.756792168666141,-5.50745913150548,3.64049889641963e-08,7.86393267862846e-06
"KCNG1",366.480093528173,4.75710766333511,0.975187854757788,3.85270145132014,0.000116821794403239,0.00640519890655394
"LEP",13342.7487133952,-9.18731748140511,1.11490744077391,-7.34349523734626,2.08086805414774e-13,4.49493510546588e-10
"LEPR",3703.20516550399,-3.74194192503025,0.50417562956966,-5.43846581273801,5.3741318988117e-08,1.04348734093668e-05
"LHCGR",28.1338777116633,-7.18922164045962,1.45369003124942,-4.25759378368999,2.06638983545141e-05,0.00156619661168578
"LIFR",8407.54543581591,-2.81793159118019,0.444500425980913,-4.0898309313617,4.31687741011367e-05,0.00282575600470358
"LIPE",22171.3469282574,-6.9148172044279,0.891700718143937,-6.63318654350701,3.28516194559528e-11,2.10262531784563e-08
"MAOA",12054.2436044498,-5.28266433489658,0.810936115689192,-5.28113651869712,1.28384979014291e-07,2.21862082234596e-05
"MEOX2",1216.16728419915,-3.49075664452386,0.659225362473066,-3.77830827864367,0.000157897343200887,0.0078408735283176
"MFAP2",1799.43174183865,2.84753341067332,0.421575093064891,4.38245389982974,1.17350002492539e-05,0.000956568581638477
"MME",12493.0915325449,-3.59480058850489,0.599976111782564,-4.32483983536541,1.52642724227522e-05,0.0012044835239159
"MMP1",451.312627309509,6.85632779341652,1.23370064864587,4.74696013157207,2.06496634896037e-06,0.000230223764363769
"MMP11",9462.4312373548,6.44362529079678,0.755955228137609,7.2009890112247,5.97773656430839e-13,1.03301265567813e-09
"MMP13",405.365560087505,8.14333468738055,0.789336614277969,9.04979518011435,1.43236758973424e-19,8.25091477273246e-16
"MYBL2",2975.66540597878,5.85915418489589,0.92703228298851,5.24162348395382,1.59169902649277e-07,2.6705000851283e-05
"MYH1",166.707101834421,-7.16158722914171,0.958398831947051,-6.42904292425319,1.28409866108214e-10,5.99743485463796e-08
"MYOC",905.990877684197,-8.96404751155173,1.12527393712409,-7.07742999176339,1.46852336368836e-12,1.9521194036845e-09
"NEK2",862.88842469646,5.12193795926404,0.996223126202605,4.13756502017375,3.51010998886621e-05,0.00236946135615613
"NOVA1",1038.04266173789,-4.24601848472606,0.731897025695842,-4.43507538733328,9.20400746297549e-06,0.000783519472747189
"NPR1",4449.77702968057,-4.64969316698356,0.658686878763305,-5.54086210709998,3.00986161715222e-08,6.84387086921152e-06
"NTRK2",12113.321874927,-3.9223965780029,0.536526785117504,-5.44687918490942,5.12612558396625e-08,1.01581586302482e-05
"PCDH9",568.61622930695,-4.85808471142741,0.75389302592172,-5.11754927923689,3.09531204731172e-07,4.65131195561685e-05
"PCK1",5939.33412227227,-9.02033831819001,1.19530847031206,-6.70984814162331,1.94827061482912e-11,1.40283602061925e-08
"PDE2A",2744.84041536621,-4.13845222578194,0.595180262160246,-5.27311207261934,1.34129597282565e-07,2.29494412934655e-05
"PDE3B",6275.00128265781,-5.91199962716685,1.03961425786249,-4.72482903155465,2.3030903577501e-06,0.000248748152951747
"PDK4",15412.7140345233,-3.29282044347668,0.551620960986465,-4.15651435611951,3.23139875454886e-05,0.00219849613690389
"ENPP2",7896.81225152121,-3.62036708623061,0.517560232509503,-5.06292199755222,4.12878815109397e-07,5.84832688844712e-05
"PFKFB1",723.157904650992,-6.31519949569836,1.02595808067018,-5.18071799992681,2.21033437477156e-07,3.5697933019091e-05
"PLIN1",58744.3741693506,-7.9909648381317,1.15714519141534,-6.04156236399412,1.52628990587344e-09,4.97656903082999e-07
"PLK1",1125.3688947394,4.79163281656671,0.845628525287828,4.48380429843724,7.33239141454958e-06,0.000643203330126047
"FXYD1",811.69117623317,-4.54868086558904,0.845553099268387,-4.19687523901163,2.70622912500075e-05,0.00194859772954742
"PPARG",5247.58362984949,-5.12279708540398,0.732714703047742,-5.62674267113122,1.83644369095537e-08,4.40771991991663e-06
"PPP1R1A",7368.84387548697,-5.9810778291656,0.912342860306003,-5.4596556249642,4.77059011887878e-08,9.58611254004002e-06
"PRELP",8721.0027205814,-3.4312035775498,0.656166544749731,-3.70516235093499,0.000211255376343159,0.00970894908065015
"PRKAR2B",19180.0417264491,-4.34904865669895,0.737108433791027,-4.5434952351236,5.5329056641624e-06,0.000519642080339079
"MAPK10",1159.25254714366,-3.67632129091506,0.607552379340943,-4.40508733389913,1.0574126812536e-05,0.000891100915350173
"MASP1",227.441310587002,-4.12574204550613,0.702104754769739,-4.45195966025219,8.50901538376712e-06,0.000735221474234398
"PTH1R",457.004741015093,-3.81682022680779,0.761798085137919,-3.6975942598987,0.000217652410154641,0.00987205065585917
"PTPRN",107.099154181195,6.62954989546428,0.920207327720845,6.11769731219969,9.49371747777921e-10,3.4179360777813e-07
"PYGM",597.551206118831,-6.05479861545386,0.960251289877125,-5.26403730850565,1.40925832195279e-07,2.38758755506531e-05
"RBP4",11267.6160787519,-7.98829439888274,1.06485023482892,-6.56270165541682,5.28415067340056e-11,3.0438469262345e-08
"RDH5",2461.25333711953,-5.75159171354174,0.89611668299487,-5.30242523513977,1.14274272718449e-07,2.0000601478266e-05
"RGS4",1289.8451780186,4.37742106128848,0.711860160681025,4.74450074303549,2.09021212091306e-06,0.000231544587573709
"SAA1",7310.71303470797,-4.63858592114732,0.944224713848072,-3.85351693064536,0.000116433208150222,0.00640519890655394
"SAA2",3254.7811333726,-5.85794245153928,1.09464544533261,-4.4379140956122,9.08348552431357e-06,0.000777087689830014
"SCN3A",181.974736774683,-3.40299044368343,0.368825359581364,-6.51525276464435,7.25673557910664e-11,3.91886398570443e-08
"SCN4A",971.278875223052,-5.96249485817338,0.75165393279826,-6.60210057000432,4.05372345964909e-11,2.41559983124814e-08
"SCT",11.7115147710068,6.87587200837425,1.55551818549841,3.77743703876503,0.000158450543852874,0.00784579899232528
"CCL11",30.1256807248655,5.87857122869444,1.08416291701955,4.49985067014284,6.80012155328027e-06,0.000599555615113451
"CCL20",38.1669385614871,5.78630118240218,1.25813739994849,3.80427541745292,0.000142219874930893,0.00733642286173364
"SLC2A4",2379.3375643484,-7.3135515201278,0.97301243158244,-6.48866480550498,8.66003928765337e-11,4.27583254085537e-08
"SOD3",3561.38066100009,-4.42991781121321,0.506042719584184,-6.7779214648747,1.21917086527054e-11,9.57658714670006e-09
